Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
NW,Halton,876,The Cavendish High Academy,Academy Special,10044825,125223,28,28,0,0,0,0,"280,000","3,004","3,004",0,0,0,0,"283,004"
EM,Leicestershire,855,The Cedars Academy,Academy,10045653,130329,66,0,"269,371","7,440",0,0,0,"5,859","5,859",0,0,0,0,"275,231"
NE,Gateshead,390,The Cedars Academy,Academy Special,10038703,122702,15,15,0,0,0,0,"150,000","1,609","1,609",0,0,0,0,"151,609"
SE,Buckinghamshire,825,The Chalfonts Community College,Academy,10034796,120215,194,16,"849,544","6,449",3,0,"96,000","11,019","11,019",0,0,0,0,"956,563"
EE,Luton,821,The Chalk Hills Academy,Academy,10021095,118600,89,0,"361,259","27,997",2,0,0,"9,548","9,548",0,0,0,0,"370,806"
GL,Southwark,210,The Charter School North Dulwich,Academy,10031347,119271,341,0,"1,682,352","35,468",6,0,0,"34,784","34,784",0,0,"5,400",0,"1,722,535"
WM,Worcestershire,885,The Chase,Academy,10035755,120628,263,0,"1,066,393","26,853",3,0,0,"16,811","16,811",0,0,"5,400",0,"1,088,604"
EE,Hertfordshire,919,The Chauncy School,Academy,10034843,120090,219,0,"980,605","16,032",0,0,0,"16,394","16,394",0,0,"18,000",0,"1,014,999"
WM,Staffordshire,860,The Cheadle Academy,Academy,10034663,119959,51,0,"203,269","6,000",4,"-3,100",0,"2,904","2,904",0,0,0,0,"203,074"
SE,Oxfordshire,931,The Cherwell School,Academy,10036940,121116,627,0,"2,685,244","14,393",0,0,0,"29,055","29,055",0,0,0,0,"2,714,298"
SE,Surrey,936,The Children's Trust School,Non-Maintained Special School,10017703,122203,14,14,0,0,0,0,"140,000","1,545","1,545",0,0,0,0,"141,545"
GL,Hackney,204,"The City Academy, Hackney",Academy,10027531,118896,198,0,"1,041,430","91,995",0,0,0,"21,241","21,241",0,0,0,0,"1,062,671"
GL,Camden,202,The City Literary Institute,Specialist Designated College,10001463,108356,108,0,"42,200","6,000",3,"-1,428",0,"11,586","11,586",0,0,0,0,"52,358"
EM,Leicester,856,The City of Leicester College,School Sixth Form,10006636,113693,363,0,"1,570,713","134,882",0,0,0,"68,247","68,247",0,0,0,0,"1,638,960"
NW,Liverpool,341,The City of Liverpool College,General FE and Tertiary,10003955,106915,"3,005",79,"14,740,754","3,008,827",45,0,"474,000","573,236","495,912","77,324","288,500",0,0,"16,076,489"
SW,Wiltshire,865,The Clarendon Academy,Academy,10039518,122867,102,0,"394,607","10,556",3,0,0,"8,067","8,067",0,0,0,0,"402,674"
WM,Warwickshire,937,The Coleshill School,Academy,10034819,119986,198,0,"833,885","71,823",1,0,0,"20,705","20,705",0,0,0,0,"854,589"
SE,West Sussex,938,The College of Richard Collyer In Horsham,Sixth Form College,10001550,108368,"1,932",2,"7,683,339","123,839",8,0,"12,000","108,584","97,124","11,460","48,750",0,0,"7,852,674"
EE,Norfolk,926,The College of West Anglia,General FE and Tertiary,10007916,105939,"2,655",186,"12,779,644","1,804,271",39,0,"1,116,000","460,750","353,807","106,943","323,750",0,0,"14,680,144"
SW,Swindon,866,The Commonweal School,Academy,10034826,120190,238,3,"975,472","42,084",1,0,"18,000","25,533","25,533",0,0,"18,000",0,"1,037,005"
GL,Barnet,302,The Compton School,Academy,10032609,119441,286,0,"1,307,774","37,455",1,0,0,"30,682","30,682",0,0,"13,800",0,"1,352,256"
