Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
GL,Greenwich,203,The Halley Academy,Academy,10066521,140063,111,0,"629,366","62,073",1,0,0,"20,756","20,756",0,0,0,0,"650,122"
GL,Hillingdon,312,The Harefield Academy,Academy,10003498,118404,81,2,"363,970","9,803",0,0,"12,000","5,542","5,542",0,0,"1,200",0,"382,712"
GL,Haringey,309,The Harington Scheme Ltd,Independent Learning Provider,10002896,107481,47,42,"297,810","54,564",0,0,"252,000","13,034","3,884","9,150",0,0,0,"562,844"
WM,Staffordshire,860,The Hart School,Academy,10034980,120100,110,0,"446,577","15,504",1,0,0,"11,828","11,828",0,0,0,0,"458,405"
SE,Kent,886,The Harvey Grammar School,Academy,10038103,122101,205,0,"821,079","15,049",0,0,0,"18,156","18,156",0,0,0,0,"839,235"
SE,Kent,886,The Hayesbrook School,Academy,10031580,119302,56,0,"227,911","6,000",0,0,0,"3,493","3,493",0,0,"1,200",0,"232,604"
SE,Milton Keynes,826,The Hazeley Academy,Academy,10034106,119844,298,0,"1,302,200","32,303",2,0,0,"22,823","22,823",0,0,0,0,"1,325,023"
GL,Hounslow,313,The Heathland School,School Sixth Form,10006687,114199,451,0,"2,038,639","45,478",0,0,0,"52,496","52,496",0,0,0,0,"2,091,135"
EE,Hertfordshire,919,The Hemel Hempstead School,School Sixth Form,10003000,113920,236,0,"1,043,050","6,000",0,0,0,"16,337","16,337",0,0,"12,600",0,"1,071,987"
SE,Oxfordshire,931,The Henley College,Sixth Form College,10003011,105028,"1,737",34,"7,333,653","169,810",10,0,"204,000","130,867","110,800","20,067","88,250",0,"5,000","7,761,770"
GL,Barnet,302,The Henrietta Barnett School,Academy,10037023,120690,270,0,"1,282,744","18,008",0,0,0,"17,049","17,049",0,0,"67,200",0,"1,366,994"
SE,Oxfordshire,931,The Henry Box School,Academy,10037411,122060,135,0,"576,115","6,000",1,0,0,"7,684","7,684",0,0,0,0,"583,799"
EE,Hertfordshire,919,The Hertfordshire & Essex High School and Science College,Academy,10045643,125220,404,0,"1,758,950","6,545",0,0,0,"18,516","18,516",0,0,"15,000",0,"1,792,466"
EE,Norfolk,926,"The Hewett Academy, Norwich",Academy,10049653,132992,12,0,"47,899","6,000",0,0,0,"1,421","1,421",0,0,0,0,"49,320"
